,name,latitude,longitude,location,rating,review_count,station_name
0,NUBA,41.39317646,2.13539729,Barcelona,3.6,20,"C/ GANDUXER, 29"
1,Patrón,41.3956049266169,2.14875113230696,Barcelona,3.8,51,"C/ GANDUXER, 29"
2,Kahala,41.39069,2.13802,Barcelona,3.9,18,"C/ GANDUXER, 29"
3,Vermut Pérez,41.3944558609083,2.13878725969133,Barcelona,5.0,1,"C/ GANDUXER, 29"
4,Ribs,41.3933586128933,2.13561462215917,Barcelona,4.3,3,"C/ GANDUXER, 29"
5,Cantina 10,41.39405,2.14747,Barcelona,4.6,18,"C/ GANDUXER, 29"
6,Cocina Hermanos Torres,41.3865123,2.1400986,Barcelona,4.5,22,"C/ GANDUXER, 29"
7,Pippermint,41.39318,2.13886,Barcelona,3.2,11,"C/ GANDUXER, 29"
8,Keik,41.3941307,2.1345999,Barcelona,4.0,5,"C/ GANDUXER, 29"
9,Konbe,41.3899726867676,2.13846707344055,Barcelona,4.2,9,"C/ GANDUXER, 29"
10,El Tap,41.3883632981686,2.13673554360867,Barcelona,4.1,13,"C/ GANDUXER, 29"
11,Casa Varela,41.40083,2.14735,Barcelona,4.3,8,"C/ GANDUXER, 29"
12,Chambakú,41.39014,2.1422708,Barcelona,5.0,4,"C/ GANDUXER, 29"
13,Dublin Sports,41.3925847,2.1410154,Barcelona,3.3,9,"C/ GANDUXER, 29"
14,Can Déu,41.38676,2.13249,Barcelona,4.6,8,"C/ GANDUXER, 29"
15,San Telmo,41.39336,2.14853,Barcelona,3.9,11,"C/ GANDUXER, 29"
16,Abanik,41.385223,2.1475253,Barcelona,4.1,9,"C/ GANDUXER, 29"
17,El Kiosko,41.391541,2.143645,Barcelona,4.8,4,"C/ GANDUXER, 29"
18,Miss Sushi,41.389112,2.136353,Barcelona,3.2,12,"C/ GANDUXER, 29"
19,Bikini Barcelona,41.389498064568,2.1368853576637,Barcelona,3.5,21,"C/ GANDUXER, 29"
20,Sacha,41.387922913955,2.12891593406698,Barcelona,5.0,4,"C/ GANDUXER, 29"
21,Monocrom,41.3980868831653,2.14855451998858,Barcelona,4.6,5,"C/ GANDUXER, 29"
22,Ornina,41.3887704,2.1308765,Barcelona,5.0,1,"C/ GANDUXER, 29"
23,Chontaduro,41.39647,2.14892,Barcelona,5.0,3,"C/ GANDUXER, 29"
24,Bubblic,41.3952985,2.1448498,Barcelona,4.2,5,"C/ GANDUXER, 29"
25,Bassy Cerveceria,41.38587,2.1469999,Barcelona,4.4,7,"C/ GANDUXER, 29"
26,Rabbar,41.3864355,2.1323772,Barcelona,4.0,7,"C/ GANDUXER, 29"
27,Barbara Ann,41.39024,2.13951,Barcelona,4.4,5,"C/ GANDUXER, 29"
28,Cervecería Brasería Gallega,41.39294,2.14895,Barcelona,4.5,6,"C/ GANDUXER, 29"
29,La Llibreria,41.38656,2.13276,Barcelona,5.0,1,"C/ GANDUXER, 29"
30,Entresuelo,41.3945106,2.1487855,Barcelona,5.0,1,"C/ GANDUXER, 29"
31,Bésame Mucho,41.3955917,2.14377,Barcelona,4.0,1,"C/ GANDUXER, 29"
32,Hendrix,41.3999835,2.1487078,Barcelona,4.5,2,"C/ GANDUXER, 29"
33,Gimlet,41.39608,2.14536,Barcelona,3.8,4,"C/ GANDUXER, 29"
34,Bilbao Berria,41.38981,2.13491,Barcelona,5.0,1,"C/ GANDUXER, 29"
35,Notifixis,41.396231775645,2.14904075038261,Barcelona,4.0,1,"C/ GANDUXER, 29"
36,Green's,41.39087,2.13105,Barcelona,5.0,2,"C/ GANDUXER, 29"
37,kitty´O´sheas,41.39138,2.13212,Barcelona,4.0,1,"C/ GANDUXER, 29"
38,Moncho's House,41.38981,2.13095,Barcelona,3.2,6,"C/ GANDUXER, 29"
39,Café Berlín,41.39432,2.14948,Barcelona,3.9,8,"C/ GANDUXER, 29"
40,Patio Andaluz Tablao Flamenco,41.39578,2.1497099,Barcelona,4.5,2,"C/ GANDUXER, 29"
41,Bar Ri,41.3966820145654,2.12814889811162,Barcelona,4.0,1,"C/ GANDUXER, 29"
42,La Vecina,41.40256,2.14888,Barcelona,5.0,1,"C/ GANDUXER, 29"
43,Marcel,41.39598,2.14549,Barcelona,3.0,3,"C/ GANDUXER, 29"
44,Bocayma,41.3953596050456,2.14590323739634,Barcelona,5.0,1,"C/ GANDUXER, 29"
45,Bovìnum,41.3892242496406,2.13483186582861,Barcelona,3.7,6,"C/ GANDUXER, 29"
46,Sito's,41.38523,2.14752,Barcelona,4.2,5,"C/ GANDUXER, 29"
47,Bordeaux,41.38657,2.13318,Barcelona,5.0,1,"C/ GANDUXER, 29"
48,Be Bop a Lula,41.3923,2.1498,Barcelona,3.5,2,"C/ GANDUXER, 29"
49,Bonaire,41.39278,2.14775,Barcelona,4.5,2,"C/ GANDUXER, 29"
